';
update han_levels  set total='20' where hanja='襭';';
';
한자	대표훈음	부수';
晏	늦을 안:	日';
鞍	안장 안:	革';
按	누를 안(:)	手';
鮟	아귀 안	魚';
鴈	기러기 안:	鳥';
犴	들개/옥(獄) 안	犬';
謁	뵐 알	言';
閼	막을 알	門';
斡	돌 알	斗';
軋	삐걱거릴 알	車';
訐	들추어낼 알	言';
遏	막을 알	辵';
頞	콧대 알	頁';
歹	뼈앙상할 알 | 나쁠 대	歹';
戛	창/어근버근할 알	戈';
揠	뽑을 알	手';
暗	어두울 암:	日';
巖	바위 암	山';
癌	암 암:	疒';
闇	숨을 암:	門';
庵	암자 암	广';
菴	암자 암	艸';
岩	바위[巖] 암	山';
唵	움켜먹을 암	口';
黯	검을 암:	黑';
壓	누를 압	土';
押	누를 압	手';
鴨	오리 압	鳥';
狎	친압할 압	犬';
仰	우러를 앙:	人';
央	가운데 앙	大';
殃	재앙 앙	歹';
昂	높을 앙	日';
怏	원망할 앙	心';
秧	모 앙	禾';
鴦	원앙 앙	鳥';
昻	높을[昂] 앙	日';
泱	물깊고넓을 앙 | 흰구름일 영	水';
盎	동이 앙	皿';
鞅	가슴걸이 앙	革';
卬	나 앙	卩';
愛	사랑 애(:)	心';
哀	슬플 애	口';
涯	물가 애	水';
礙	거리낄 애:	石';
艾	쑥 애	艸';
埃	티끌 애	土';
崖	언덕 애	山';
曖	희미할 애	日';
隘	좁을 애	阜';
靄	아지랑이 애:	雨';
碍	거리낄[礙] 애:	石';
厓	언덕 애	厂';
餲	밥쉴 애:	食';
藹	초목우거질 애:	艸';
僾	비슷할/돋보기 애:	人';
液	진 액	水';
額	이마 액	頁';
厄	액 액	厂';
扼	잡을 액	手';
腋	겨드랑이 액	肉';
縊	목맬 액	糸';
掖	낄/겨드랑이 액	手';
頟	이마 액	頁';
戹	좁을 액	戶';
阨	막힐 액 | 좁을 애	阜';
櫻	앵두 앵	木';
鶯	꾀꼬리 앵	鳥';
罌	양병 앵	缶';
鸚	앵무새 앵	鳥';
嚶	꾀꼬리소리 앵	口';
夜	밤 야:	夕';
野	들[坪] 야:	里';
也	이끼/어조사 야:	乙';
耶	어조사 야	耳';
惹	이끌 야:	心';
倻	가야 야	人';
揶	야유할 야:	手';
冶	풀무 야:	冫';
爺	아비 야	父';
椰	야자나무 야	木';
弱	약할 약	弓';
藥	약 약	艸';
約	맺을 약	糸';
若	같을 약 | 반야 야	艸';
躍	뛸 약	足';
葯	꽃밥 약	艸';
蒻	부들 약	艸';
瀹	데칠/지질 약	水';
籥	피리 약	竹';
禴	봄제사 약	示';
陽	볕 양	阜';
洋	큰바다 양	水';
養	기를 양:	食';
羊	양 양	羊';
樣	모양 양	木';
讓	사양할 양:	言';
壤	흙덩이 양:	土';
揚	날릴 양	手';
楊	버들 양	木';
孃	아가씨 양	女';
襄	도울 양(:)	衣';
攘	물리칠 양:	手';
恙	병/근심할 양:	心';
釀	술빚을 양	酉';
癢	가려울 양:	疒';
瘍	헐 양	疒';
瀁	물깊을 양	水';
佯	거짓 양	人';
敭	날릴[揚] 양	攴';
暘	해돋을 양	日';
禳	빌[祈] 양	示';
痒	가려울[癢] 양:	疒';
穰	볏줄기 양	禾';
煬	녹일 양	火';
颺	날릴 양	風';
饟	건량 양	食';
昜	볕 양	日';
瀼	이슬많은모양 양	水';
漾	물출렁거릴 양	水';
鍚	말이마치장 양	金';
語	말씀 어:	言';
漁	고기잡을 어	水';
魚	고기/물고기 어	魚';
御	거느릴 어:	彳';
於	어조사 어 | 탄식할 오	方';
圄	옥 어	囗';
禦	막을 어:	示';
瘀	어혈질 어:	疒';
齬	이어긋날 어:	齒';
馭	말부릴 어	馬';
敔	막을 어	攴';
饇	배부를 어	食';
飫	배부를 어:	食';
圉	마부 어	囗';
億	억[數字] 억	人';
憶	생각할 억	心';
抑	누를 억	手';
臆	가슴 억	肉';
檍	참죽나무 억	木';
嶷	숙성할 억 | 산이름 의	山';
言	말씀 언	言';
焉	어찌 언	火';
彦	선비 언:	彡';
堰	둑 언	土';
諺	언문/속담 언:	言';
偃	쓰러질 언	人';
鰋	메기 언:	魚';
唁	위문할 언	口';
蘖	싹 얼	艸';
孼	서자 얼	子';
臬	문지방 얼	自';
孽	서자 얼	子';
臲	위태할 얼	自';
嚴	엄할 엄	口';
掩	가릴 엄:	手';
奄	문득 엄:	大';
儼	엄연할 엄	人';
淹	담글 엄	水';
俺	나 엄	人';
閹	고자/내시 엄	門';
揜	가릴 엄:	手';
渰	구름일 엄	水';
業	업 업	木';
嶪	산높을 업	山';
餘	남을 여	食';
如	같을 여	女';
與	더불/줄 여:	臼';
輿	수레 여:	車';
汝	너 여:	水';
余	나 여	人';
予	나 여	亅';
璵	옥 여	玉';
艅	배이름 여	舟';
轝	수레[輿] 여:	車';
歟	어조사 여	欠';
茹	꼭두서니 여	艸';
礖	돌 여	石';
旟	기 여	方';
鸒	갈까마귀 여	鳥';
洳	물이름/축축할 여	水';
畬	세해된밭 여 | 따비밭 사	田';
逆	거스릴 역	辵';
域	지경 역	土';
易	바꿀 역 | 쉬울 이:	日';
疫	전염병 역	疒';
亦	또 역	亠';
役	부릴 역	彳';
譯	번역할 역	言';
驛	역 역	馬';
繹	풀[解] 역	糸';
鷊	칠면조 역	鳥';
鶂	거위소리 역 | 거위소리 예	鳥';
罭	물고기그물 역	网';
埸	지경/밭두둑 역	土';
嶧	산이름 역	山';
棫	두릅나무 역	木';
晹	햇살약할 역	日';
淢	빨리흐를 역 | 해자 혁	水';
緎	혼솔 역	糸';
懌	기뻐할 역	心';
閾	문지방 역	門';
然	그럴 연	火';
煙	연기 연	火';
硏	갈 연:	石';
演	펼 연:	水';
燃	탈 연	火';
鉛	납 연	金';
緣	인연 연	糸';
延	늘일 연	廴';
沿	물따라갈/따를 연(:)	水';
軟	연할 연:	車';
宴	잔치 연:	宀';
燕	제비 연(:)	火';
硯	벼루 연:	石';
衍	넓을 연:	行';
姸	고울 연:	女';
淵	못 연	水';
鳶	솔개 연	鳥';
捐	버릴 연:	手';
筵	대자리 연	竹';
椽	서까래 연	木';
嚥	침삼킬 연	口';
縯	길 연 | 당길 인	糸';
烟	연기[煙 ] 연	火';
涓	졸졸흐를 연	水';
挻	당길 연	手';
堧	빈땅 연	土';
沇	물이름 연	水';
娟	예쁠 연	女';
涎	침 연	水';
醼	잔치 연	酉';
蜎	벌레꿈틀거릴 연	虫';
掾	아전 연	手';
悁	성낼 연 | 조급할 견	心';
兗	땅이름 연	儿';
熱	더울 열	火';
悅	기쁠 열	心';
閱	볼[覽] 열	門';
噎	목멜 열	口';
染	물들 염:	木';
鹽	소금 염	鹵';
炎	불꽃 염	火';
厭	싫어할 염:	厂';
閻	마을 염	門';
焰	불꽃 염	火';
艶	고울 염:	色';
剡	날카로울 염	刀';
琰	옥 염	玉';
苒	풀우거질 염	艸';
髥	구레나룻 염	髟';
艷	고울 염[艶]:	色';
饜	싫을/배부를 염:	食';
焱	불꽃 염 | 불꽃 혁	火';
檿	산뽕나무 염:	木';
燄	불당길 염:	火';
冉	나아갈 염	冂';
葉	잎 엽	艸';
燁	빛날 엽	火';
曄	빛날 엽	日';
饁	들밥먹일 엽	食';
爗	빛날 엽	火';
英	꽃부리 영	艸';
永	길 영:	水';
榮	영화 영	木';
迎	맞을 영	辵';
映	비칠 영(:)	日';
營	경영할 영	火';
影	그림자 영:	彡';
詠	읊을 영:	言';
泳	헤엄칠 영:	水';
盈	찰[滿] 영	皿';
瑛	옥빛 영	玉';
暎	비칠 영:	日';
嬰	어린아이 영	女';
渶	물이름 영	水';
濚	물졸졸흐를 영	水';
嶸	산가파를 영	山';
楹	기둥 영	木';
塋	무덤 영	土';
潁	물이름 영	水';
瀛	바다 영	水';
煐	빛날 영	火';
鍈	방울소리 영	金';
纓	갓끈 영	糸';
瓔	옥돌 영	玉';
瀯	물소리 영	水';
霙	진눈깨비 영	雨';
穎	이삭 영	禾';
咏	읊을 영:	口';
嬴	가득할 영	女';
縈	얽힐 영	糸';
贏	남을 영	貝';
郢	땅이름 영:	邑';
攖	찌를/가까이할 영	手';
藝	재주 예:	艸';
豫	미리 예:	豕';
譽	기릴/명예 예:	言';
銳	날카로울 예:	金';
預	맡길/미리 예:	頁';
芮	성(姓) 예:	艸';
睿	슬기 예:	目';
濊	종족이름 예:	水';
詣	이를[至] 예:	言';
曳	끌 예:	曰';
穢	더러울 예:	禾';
裔	후손 예:	衣';
刈	벨 예	刀';
乂	깎을 예	丿';
霓	암무지개 예	雨';
倪	어릴 예	人';
叡	밝을 예:	又';
汭	물굽이 예	水';
蘂	꽃술[蕊] 예:	艸';
猊	사자 예	犬';
瘞	묻을 예:	疒';
輗	멍에막이 예	車';
羿	사람이름 예:	羽';
橤	드리울 예	木';
堄	성가퀴 예	土';
勩	수고로울 예 | 수고로울 이	力';
麑	사슴새끼 예	鹿';
鷖	갈매기 예	鳥';
蚋	모기 예:	虫';
蕊	꽃술 예:	艸';
翳	가릴 예:	羽';
睨	흘겨볼 예:	目';
蓺	심을 예	艸';
五	다섯 오:	二';
午	낮 오:	十';
誤	그르칠 오:	言';
烏	까마귀 오	火';
悟	깨달을 오:	心';
嗚	슬플 오	口';
娛	즐길 오:	女';
吾	나 오	口';
傲	거만할 오:	人';
汚	더러울 오:	水';
梧	오동나무 오(:)	木';
墺	물가 오:	土';
吳	성(姓) 오	口';
奧	깊을 오(:)	大';
懊	한할 오:	心';
伍	다섯사람 오:	人';
寤	잠깰 오	宀';
鰲	자라 오	魚';
塢	산언덕 오:	土';
獒	사나운개 오	犬';
晤	밝을 오:	日';
俉	맞이할 오	人';
蜈	지네 오	虫';
鼇	자라 오	黽';
筽	버들고리 오	竹';
旿	밝을 오	日';
澳	물굽이 오	水';
熬	볶을 오	火';
敖	거만할 오:	攴';
珸	아름다운돌 오	玉';
忤	거스를 오:	心';
汙	더러울 오:	水';
隩	감출 오	阜';
嗸	시끄러울 오	口';
杇	흙손 오	木';
奡	거만할 오:	大';
屋	집 옥	尸';
玉	구슬 옥	玉';
獄	옥[囚舍] 옥	犬';
鈺	보배 옥	金';
沃	기름질 옥	水';
鋈	도금할 옥	金';
溫	따뜻할 온	水';
穩	편안할 온	禾';
蘊	쌓을 온:	艸';
瑥	사람이름 온	玉';
縕	묵은솜 온:	糸';
瘟	염병 온	疒';
韞	감출 온:	韋';
慍	성낼 온	心';
媼	할미 온	女';
昷	온화할 온	日';
醞	술빚을 온:	酉';
兀	우뚝할 올	儿';
杌	가지없는나무/위태로울 올	木';
扤	움직일 올	手';
卼	위태할 올	卩';
擁	낄 옹:	手';
翁	늙은이 옹	羽';
甕	독 옹:	瓦';
雍	화(和)할 옹	隹';
邕	막힐 옹	邑';
壅	막을 옹	土';
瓮	독 옹	瓦';
饔	아침밥 옹	食';
癰	종기 옹	疒';
灉	물이름 옹	水';
雝	화할/할미새 옹	隹';
廱	막힐 옹	广';
顒	우러를 옹	頁';
瓦	기와 와:	瓦';
臥	누울 와:	臣';
訛	그릇될 와:	言';
渦	소용돌이 와	水';
蝸	달팽이 와	虫';
窪	웅덩이 와	穴';
蛙	개구리 와	虫';
窩	움집 와	穴';
吪	움직일 와	口';
完	완전할 완	宀';
緩	느릴 완:	糸';
莞	빙그레할 완 | 왕골 관	艸';
婉	순할/아름다울 완:	女';
宛	완연할 완	宀';
玩	즐길 완:	玉';
腕	팔뚝 완(:)	肉';
阮	성(姓) 완:	阜';
頑	완고할 완	頁';
豌	완두 완	豆';
椀	주발[碗] 완:	木';
琓	나라이름 완	玉';
琬	홀 완	玉';
翫	구경할 완:	羽';
碗	주발[椀] 완:	石';
浣	빨 완	水';
脘	중완[胃腑] 완	肉';
婠	품성좋을 완	女';
盌	주발 완	皿';
垸	회섞어바를 완	土';
曰	가로 왈	曰';
王	임금 왕	玉';
往	갈 왕:	彳';
汪	넓을 왕(:)	水';
旺	왕성할 왕:	日';
枉	굽을 왕:	木';
歪	기울 왜 | 기울 외	止';
倭	왜나라 왜	人';
矮	난쟁이 왜	矢';
娃	예쁠 왜 | 미인 와	女';
騧	공골말 왜	馬';
外	바깥 외:	夕';
畏	두려워할 외:	田';
巍	높고클 외	山';
猥	외람할 외:	犬';
嵬	높을 외:	山';
要	요긴할 요(:)	襾';
曜	빛날요:	日';
謠	노래 요	言';
遙	멀 요	辵';
腰	허리 요	肉';
搖	흔들 요	手';
妖	요사할 요	女';
姚	예쁠 요	女';
堯	요임금 요	土';
耀	빛날 요	羽';
擾	시끄러울 요	手';
窈	고요할 요:	穴';
窯	기와가마 요	穴';
邀	맞을 요	辵';
饒	넉넉할 요	食';
僥	요행 요	人';
凹	오목할 요	凵';
拗	우길 요	手';
夭	일찍죽을 요:	大';
瑤	아름다운옥 요	玉';
繞	두를 요	糸';
繇	성할 요 | 부드러울 유	糸';
橈	노/꺾어질 요	木';
蟯	요충 요	虫';
嶢	높을 요	山';
燿	비칠/빛날 요	火';
徭	구실 요	彳';
蕘	나무할 요	艸';
喓	벌레소리 요	口';
殀	일찍죽을 요	歹';
葽	아기풀 요	艸';
鷕	암꿩이울 요	鳥';
徼	구할 요: | 변방 교:	彳';
浴	목욕할 욕	水';
慾	욕심 욕	心';
欲	하고자할 욕	欠';
辱	욕될 욕	辰';
縟	화문놓을 욕	糸';
褥	요[藉] 욕	衣';
勇	날랠 용:	力';
用	쓸 용:	用';
容	얼굴 용	宀';
庸	떳떳할 용	广';
熔	녹을 용	火';
傭	품팔 용	人';
瑢	패옥소리 용	玉';
溶	녹을 용	水';
鎔	쇠녹일 용	金';
鏞	쇠북 용	金';
踊	뛸 용:	足';
蓉	연꽃 용	艸';
茸	풀날 용: | 버섯 이:	艸';
聳	솟을 용:	耳';
涌	물 솟을 용:	水';
冗	한산할/번잡할[宂] 용:	冖';
榕	나무이름 용	木';
俑	허수아비 용	人';
墉	담[垣] 용	土';
甬	종꼭지 용	用';
湧	물솟을[涌] 용:	水';
埇	길돋울 용:	土';
慂	권할 용	心';
鄘	나라이름 용	邑';
宂	일없을/번잡할 용:	宀';
踴	뛸 용:	足';
右	오를/오른(쪽) 우:	口';
友	벗 우:	又';
雨	비 우:	雨';
牛	소 우	牛';
優	넉넉할 우	人';
遇	만날 우:	辵';
郵	우편 우	邑';
憂	근심 우	心';
偶	짝 우:	人';
宇	집 우:	宀';
愚	어리석을 우	心';
羽	깃 우:	羽';
于	어조사 우	二';
尤	더욱 우	尢';
又	또 우:	又';
佑	도울 우:	人';
禹	성(姓) 우(:)	禸';
祐	복(福) 우:	示';
虞	염려할/나라이름 우	虍';
迂	에돌 우	辵';
寓	부칠[寄] 우:	宀';
嵎	산굽이 우	山';
隅	모퉁이 우	阜';
釪	바리때 우	金';
禑	복 우	示';
旴	해뜰 우	日';
玗	옥돌 우	玉';
瑀	옥돌 우	玉';
盂	바리 우	皿';
藕	연뿌리 우:	艸';
雩	기우제 우	雨';
紆	얽힐 우	糸';
芋	토란 우:	艸';
盱	눈부릅뜰 우	目';
吁	탄식할 우	口';
俁	클 우	人';
堣	땅이름 우	土';
楀	나무이름 우	木';
耦	짝 우:	耒';
訏	속일 우:	言';
懮	근심할 우	心';
噳	떼지을/웃는모양 우	口';
麌	수사슴/떼지어모일 우	鹿';
麀	암사슴 우	鹿';
踽	홀로걸을 우	足';
耰	고무래 우	耒';
訧	허물 우	言';
旭	아침해 욱	日';
昱	햇빛밝을 욱	日';
煜	빛날 욱	火';
郁	성할 욱	邑';
頊	삼갈 욱	頁';
栯	나무이름 욱	木';
彧	문채 욱	彡';
勖	힘쓸 욱	力';
稶	무성할 욱	禾';
稢	서직무성할 욱	禾';
薁	머루 욱	艸';
勗	힘쓸 욱	力';
燠	더울 욱	火';
運	옮길 운:	辵';
雲	구름 운	雨';
韻	운 운:	音';
云	이를 운	二';
芸	향풀 운	艸';
耘	김맬 운	耒';
殞	죽을 운:	歹';
隕	떨어질 운:	阜';
蕓	평지 운	艸';
澐	큰물결 운	水';
橒	나무이름 운	木';
熉	노란모양 운	火';
沄	물콸콸흐를 운	水';
篔	왕대 운	竹';
鬱	답답할 울	鬯';
蔚	고을이름 울	艸';
亐	땅이름 울	乙';
菀	무성할 울 | 동산 원: | 개미취 완	艸';
雄	수컷 웅	隹';
熊	곰 웅	火';
園	동산 원	囗';
遠	멀 원:	辵';
元	으뜸 원	儿';
原	언덕 원	厂';
院	집 원	阜';
願	원할 원:	頁';
圓	둥글 원	囗';
員	인원 원	口';
怨	원망할 원(:)	心';
援	도울 원:	手';
源	근원 원	水';
苑	나라동산 원:	艸';
瑗	구슬 원	玉';
袁	성(姓) 원	衣';
媛	계집 원	女';
冤	원통할 원(:)	冖';
猿	원숭이 원	犬';
鴛	원앙 원	鳥';
垣	담 원	土';
轅	끌채 원	車';
円	둥글[圓] 원	冂';
湲	물졸졸흐를 원	水';
沅	물이름 원	水';
嫄	여자이름 원	女';
愿	삼갈 원	心';
洹	물이름 원	水';
寃	원통할[冤]  원(:)	宀';
爰	이에 원	爪';
黿	큰자라 원	黽';
騵	붉은말 원	馬';
月	달 월	月';
越	넘을 월	走';
鉞	도끼 월	金';
刖	발꿈치벨 월	刀';
軏	멍에막이 월	車';
偉	클 위	人';
位	자리 위	人';
衛	지킬 위	行';
爲	하/할 위(:)	爪';
圍	에워쌀 위	囗';
委	맡길 위	女';
威	위엄 위	女';
慰	위로할 위	心';
危	위태할 위	卩';
胃	밥통 위	肉';
僞	거짓 위	人';
謂	이를 위	言';
違	어긋날 위	辵';
緯	씨 위	糸';
尉	벼슬 위	寸';
渭	물이름 위	水';
韋	가죽 위	韋';
魏	성(姓) 위	鬼';
萎	시들 위	艸';
暐	빛날 위	日';
葦	갈대 위	艸';
瑋	옥이름 위	玉';
蔿	애기풀 위	艸';
蝟	고슴도치 위	虫';
褘	휘장 위	衣';
藯	익모초 위	艸';
韡	밝고성한모양 위	韋';
喟	한숨쉴 위	口';
煒	빛날 위	火';
闈	대궐안작은문 위	門';
有	있을 유:	月';
由	말미암을 유	田';
油	기름 유	水';
遊	놀 유	辵';
乳	젖 유	乙';
儒	선비 유	人';
遺	남길 유	辵';
猶	오히려 유	犬';
幽	그윽할 유	幺';
幼	어릴 유	幺';
柔	부드러울 유	木';
維	벼리 유	糸';
裕	넉넉할 유:	衣';
誘	꾈 유	言';
悠	멀 유	心';
唯	오직 유	口';
酉	닭 유	酉';
愈	나을 유	心';
惟	생각할 유	心';
庾	곳집/노적가리 유	广';
兪	대답할/인월도(人月刂) 유	入';
踰	넘을 유	足';
楡	느릅나무 유	木';
揄	야유할 유	手';
柚	유자 유	木';
游	헤엄칠 유	水';
鍮	놋쇠 유	金';
癒	병나을 유	疒';
諛	아첨할 유	言';
諭	타이를 유	言';
蹂	밟을 유	足';
喩	깨우칠 유	口';
愉	즐거울 유	心';
宥	너그러울 유	宀';
孺	어릴 유	子';
猷	꾀할 유	犬';
瑜	아름다운옥 유	玉';
釉	유약 유	釆';
逾	넘을 유	辵';
萸	수유 유	艸';
濡	젖을/막힐 유	水';
侑	짝/권할 유:	人';
洧	물이름 유	水';
楢	졸참나무 유	木';
攸	아득할 유	攴';
臾	잠깐 유	臼';
滺	물흐르는모양 유	水';
秞	곡식무성할 유	禾';
濰	물이름 유	水';
褎	옷잘입을/나아갈 유 | 소매 수	衣';
槱	화톳불놓을 유	木';
楰	산유자나무 유	木';
曘	햇빛 유	日';
卣	술통 유	卜';
龥	부르짖을 유	龠';
籲	부르짖을 유	竹';
黝	검푸를 유	黑';
醹	술맛진할 유	酉';
莠	가라지 유	艸';
輶	가벼운수레 유	車';
鮪	상어 유	魚';
窬	판장문 유	穴';
緌	갓끈 유	糸';
呦	사슴울 유	口';
囿	동산 유:	囗';
帷	휘장/장막 유	巾';
揉	휠 유	手';
牖	깨우칠/창 유	片';
羑	인도할 유	羊';
育	기를 육	肉';
肉	고기 육	肉';
毓	키울 육	毋';
堉	기름진땅 육	土';
潤	불을 윤:	水';
閏	윤달 윤:	門';
允	맏[伯] 윤:	儿';
胤	자손 윤	肉';
鈗	창 윤	金';
尹	성(姓) 윤:	尸';
玧	귀막이옥 윤 | 붉은옥 문	玉';
贇	예쁠 윤 | 예쁠 빈	貝';
奫	물깊고넓을 윤	大';
狁	오랑캐이름 윤	犬';
阭	높을 윤	阜';
聿	붓 율	聿';
繘	두레박줄 율	糸';
驈	샅흰검은말 율	馬';
汩	물흐를 율 | 빠질 골	水';
鴥	빨리날 율	鳥';
融	녹을 융	虫';
絨	가는베 융	糸';
戎	병장기/오랑캐 융	戈';
瀜	물깊고넓을 융	水';
銀	은 은	金';
恩	은혜 은	心';
隱	숨을 은	阜';
垠	지경 은	土';
誾	향기 은	言';
殷	은나라 은	殳';
慇	은근할 은	心';
嚚	어리석을 은	口';
憖	물을/원할 은	心';
檼	마룻대/도지개 은	木';
溵	물이름 은	水';
訔	언쟁할 은	言';
乙	새 을	乙';
音	소리 음	音';
飮	마실 음(:)	食';
陰	그늘 음	阜';
淫	음란할 음	水';
吟	읊을 음	口';
蔭	그늘 음	艸';
邑	고을 읍	邑';
泣	울 읍	水';
揖	읍할 읍	手';
挹	뜰/읍할 읍	手';
浥	젖을 읍	水';
應	응할 응:	心';
凝	엉길 응:	冫';
鷹	매 응(:)	鳥';
膺	가슴 응:	肉';
意	뜻 의:	心';
醫	의원 의	酉';
衣	옷 의	衣';
議	의논할 의(:)	言';
義	옳을 의:	羊';
依	의지할 의	人';
儀	거동 의	人';
疑	의심할 의	疋';
矣	어조사 의	矢';
宜	마땅 의	宀';
毅	굳셀 의	殳';
椅	의자 의	木';
擬	비길 의:	手';
誼	정(情) 의	言';
薏	율무 의 | 연밥속 억	艸';
艤	배댈 의	舟';
倚	기댈 의	人';
懿	아름다울 의	心';
蟻	개미 의	虫';
猗	불깐개 의 | 부드러울 아	犬';
饐	밥쉴 의 | 밥쉴 애	食';
扆	병풍 의	戶';
薿	우거질 의 | 우거질 억	艸';
劓	코벨 의	刀';
二	두 이:	二';
以	써 이:	人';
耳	귀 이:	耳';
移	옮길 이	禾';
異	다를 이:	田';
已	이미 이:	己';
而	말이을 이	而';
夷	오랑캐 이	大';
貳	두/갖은두 이:	貝';
怡	기쁠 이	心';
伊	저[彼] 이	人';
珥	귀고리 이:	玉';
餌	미끼 이:	食';
姨	이모 이	女';
痍	상처 이	疒';
爾	너 이:	爻';
弛	늦출 이:	弓';
彛	떳떳할[彝] 이	彐';
貽	줄[與] 이	貝';
飴	엿 이	食';
苡	율무/질경이[苢] 이:	艸';
荑	흰비름 이 | 띠싹 제	艸';
肄	익힐 이:	聿';
邇	가까울 이:	辵';
洟	콧물 이	水';
詒	줄 이 | 속일 태	言';
苢	질경이 이:	艸';
樲	멧대추나무 이:	木';
异	그만둘 이	廾';
刵	귀벨 이	刀';
桋	가시목 이	木';
訑	자랑할 이 | 방탕할 탄	言';
杝	나무이름 이 | 쪼갤 치	木';
彝	떳떳할 이	彐';
頤	턱 이	頁';
迤	든든할 이 | 어정거릴 타	辵';
益	더할 익	皿';
翼	날개 익	羽';
翊	도울 익	羽';
翌	다음날 익	羽';
謚	빙그레할 익 | 시호 시	言';
瀷	물이름 익	水';
弋	주살 익	弋';
人	사람 인	人';
因	인할 인	囗';
印	도장 인	卩';
引	끌 인	弓';
認	알[知] 인	言';
仁	어질 인	人';
忍	참을 인	心';
寅	범[虎]/동방 인	宀';
姻	혼인 인	女';
刃	칼날 인:	刀';
蚓	지렁이 인	虫';
靭	질길 인	革';
咽	목구멍 인 | 목멜 열 | 삼킬 연	口';
湮	묻힐 인	水';
茵	자리/사철쑥 인	艸';
靷	가슴걸이 인	革';
絪	기운 인	糸';
駰	회색얼룩말 인	馬';
陻	막을/막힐 인	阜';
仞	길 인:	人';
夤	공손할 인	夕';
禋	제사지낼 인	示';
牣	가득할 인:	牛';
訒	말더듬거릴 인:	言';
闉	성문 인	門';
軔	바퀴고임나무 인	車';
一	한 일	一';
日	날 일	日';
逸	편안할 일	辵';
壹	한/갖은한 일	士';
佾	줄춤 일	人';
鎰	무게이름 일	金';
溢	넘칠 일	水';
佚	편안 일 | 질탕 질	人';
馹	역말[驛馬] 일	馬';
泆	음탕할/넘칠 일	水';
任	맡길 임(:)	人';
壬	북방 임:	士';
賃	품삯 임:	貝';
妊	아이밸 임:	女';
恁	생각할 임	心';
荏	들깨 임	艸';
稔	익을 임 | 익을 념	禾';
姙	아이밸[妊] 임:	女';
袵	옷깃 임	衣';
衽	옷깃 임	衣';
入	들 입	入';
卄	스물[廿] 입	一';
剩	남을 잉:	刀';
孕	아이밸 잉:	子';
仍	인할 잉	人';
芿	새풀싹 잉	艸';
陾	담쌓는소리 잉	阜';
子	아들 자	子';
自	스스로 자	自';
字	글자 자	子';
者	놈 자	老';
資	재물 자	貝';
姿	모양 자:	女';
姉	손윗누이 자	女';
紫	자줏빛 자	糸';
慈	사랑 자	心';
刺	찌를 자: | 찌를 척	刀';
恣	마음대로/방자할 자:	心';
玆	이 자	玄';
磁	자석 자	石';
諮	물을 자:	言';
雌	암컷 자	隹';
滋	불을[益] 자	水';
疵	허물 자	疒';
仔	자세할 자	人';
蔗	사탕수수 자	艸';
炙	구울 자 | 구울 적	火';
煮	삶을 자(:)	火';
藉	깔/핑계할 자:	艸';
瓷	사기그릇 자	瓦';
咨	차탄할/물을 자	口';
孜	부지런할 자	子';
茨	남가새 자	艸';
鼒	옹솥 자	鼎';
孶	새끼칠 자	子';
赭	붉은흙 자	赤';
鎡	호미 자	金';
秭	천억 자	禾';
訿	훼방할/헐뜯을 자	言';
貲	재물 자	貝';
訾	훼방할/헐뜯을 자	言';
茲	초목무성할 자	艸';
胾	고깃점 자	肉';
耔	북돋울 자	耒';
粢	서직/젯밥 자	米';
柘	메뽕나무 자	木';
胏	밥찌끼 자	肉';
作	지을 작	人';
昨	어제 작	日';
酌	술부을/잔질할 작	酉';
爵	벼슬 작	爪';
炸	터질 작	火';
勺	구기 작	勹';
灼	불사를 작	火';
綽	너그러울 작	糸';
嚼	씹을 작	口';
芍	함박꽃 작	艸';
雀	참새 작	隹';
鵲	까치 작	鳥';
斫	쪼갤 작	斤';
柞	떡갈나무 작	木';
殘	남을 잔	歹';
盞	잔 잔	皿';
棧	사다리 잔	木';
潺	물졸졸흐를 잔	水';
孱	잔약할 잔	子';
僝	갖출/욕할 잔	人';
暫	잠깐 잠(:)	日';
潛	잠길 잠	水';
蠶	누에 잠	虫';
箴	경계 잠	竹';
簪	비녀 잠	竹';
岑	산높을 잠	山';
雜	섞일 잡	隹';
長	긴 장(:)	長';
場	마당 장	土';
章	글 장	立';
將	장수 장(:)	寸';
障	막을 장	阜';
獎	장려할 장(:)	犬';
裝	꾸밀 장	衣';
腸	창자 장	肉';
張	베풀 장	弓';
壯	장할 장:	士';
帳	장막 장	巾';
莊	씩씩할 장	艸';
葬	장사지낼 장:	艸';
臟	오장 장:	肉';
粧	단장할 장	米';
掌	손바닥 장:	手';
丈	어른 장:	一';
藏	감출 장:	艸';
墻	담 장	土';
獐	노루 장	犬';
庄	전장(田莊) 장	广';
璋	홀[圭] 장	玉';
蔣	성(姓) 장	艸';
檣	돛대 장	木';
薔	장미 장	艸';
漿	즙 장	水';
醬	장 장:	酉';
杖	지팡이 장(:)	木';
匠	장인 장	匚';
仗	의장(儀仗) 장	人';
贓	장물 장	貝';
牆	담 장	爿';
臧	착할 장	臣';
樟	녹나무 장	木';
欌	장롱 장:	木';
暲	해돋을 장	日';
漳	물이름 장	水';
粻	양식 장	米';
斨	도끼 장	斤';
鏘	옥소리 장	金';
牂	암양 장	爿';
戕	찌를 장	戈';
奘	클 장	大';
萇	보리수 장	艸';
才	재주 재	手';
在	있을 재:	土';
財	재물 재	貝';
材	재목 재	木';
災	재앙 재	火';
