';
update han_levels  set total='20' where hanja='襭';';
';
한자	대표훈음	부수';
刲	찌를/벨 규	刀';
騤	말건장할 규	馬';
頄	광대뼈 규 | 광대뼈 구	頁';
均	고를 균	土';
菌	버섯 균	艸';
鈞	무거울 균	金';
勻	고를 균	勹';
畇	밭일굴 균	田';
筠	대껍질 균	竹';
麕	노루 균	鹿';
箘	죽순 균	竹';
橘	귤 귤	木';
極	다할/극진할 극	木';
劇	심할 극	刀';
克	이길 극	儿';
隙	틈 극	阜';
剋	이길 극	刀';
戟	창 극	戈';
棘	가시 극	木';
殛	귀양보낼 극	歹';
亟	빠를 극 | 자주 기	二';
郤	틈 극	邑';
襋	옷깃 극	衣';
根	뿌리 근	木';
近	가까울 근:	辵';
勤	부지런할 근(:)	力';
筋	힘줄 근	竹';
僅	겨우 근:	人';
謹	삼갈 근:	言';
斤	근[무게단위]/날[刃] 근	斤';
瑾	아름다운옥 근:	玉';
槿	무궁화 근:	木';
饉	주릴 근:	食';
覲	뵐 근	見';
劤	힘셀 근	力';
芹	미나리 근	艸';
菫	씀바귀 근	艸';
懃	은근할 근	心';
漌	맑을 근	水';
墐	묻을 근	土';
金	쇠 금 | 성(姓) 김	金';
今	이제 금	人';
禁	금할 금:	示';
禽	새 금	禸';
錦	비단 금:	金';
琴	거문고 금	玉';
襟	옷깃 금:	衣';
擒	사로잡을 금	手';
衾	이불 금:	衣';
昑	밝을 금	日';
檎	능금 금	木';
芩	풀이름 금	艸';
衿	옷깃 금	衣';
妗	외숙모 금	女';
急	급할 급	心';
級	등급 급	糸';
給	줄 급	糸';
及	미칠 급	又';
扱	거둘 급 | 꽂을 삽	手';
汲	물길을 급	水';
伋	생각할 급	人';
岌	산높을 급	山';
肯	즐길 긍:	肉';
兢	떨릴 긍:	儿';
矜	자랑할 긍:	矛';
亘	뻗칠 긍: | 베풀 선	二';
亙	뻗칠 긍:	二';
氣	기운 기	气';
記	기록할 기	言';
旗	기 기	方';
基	터 기	土';
